case,version,mode,RAG,n_total,n_success,p_hat,p_ci_lower,p_ci_upper,p_target_halfwidth,n_required_for_p,sufficient_for_p?,n_success_iter,mean_iterations_success,std_iterations_success,iter_ci_lower,iter_ci_upper,iter_target_halfwidth,n_required_for_iter,sufficient_for_iter?
Stack4Things,v1,summarized,1,4,2,0.5,0.26945826607874607,0.900870570412955,0.2,10.264840094686349,False,2.0,9.5,4.949747468305833,5.0145695205938985,13.985430479406102,4.0,2.514885823198156,False
Stack4Things,v2,notsummarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v2,notsummarized,1,4,1,0.25,0.09138015059072603,0.6641131041468258,0.2,7.698630071014762,False,1.0,5.0,0.0,,,4.0,,False
Stack4Things,v2,summarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v2,summarized,1,3,0,0.0,0.0,0.4298073676929685,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v3,notsummarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v3,notsummarized,1,3,1,0.3333333333333333,0.12850720998548637,0.8246977018098259,0.2,9.124302306387866,False,1.0,21.0,0.0,,,4.0,,False
Stack4Things,v3,summarized,0,4,0,0.0,0.0,0.3406576729834024,0.2,0.0,True,,,,,,4.0,,False
Stack4Things,v3,summarized,1,2,0,0.0,0.0,0.5821571892641612,0.2,0.0,True,,,,,,4.0,,False
WordPress,v1,notsummarized,0,5,4,0.8,0.58598609151693,1.0704413813192863,0.2,6.569497660599262,False,4.0,8.25,6.18465843842649,4.287020647937954,12.212979352062046,4.0,3.9263013362175285,True
WordPress,v1,summarized,0,9,6,0.6666666666666666,0.49194044122044706,0.8971354542708528,0.2,9.124302306387866,False,6.0,7.0,5.0990195135927845,4.332237679443212,9.667762320556788,4.0,2.6688584246184512,True
WordPress,v2,notsummarized,0,6,5,0.8333333333333334,0.6438547632941809,1.0629411449343744,0.2,5.702688941492415,True,5.0,12.2,2.4899799195977463,10.77292457284635,13.627075427153649,4.0,0.6364200858705538,True
WordPress,v2,summarized,0,7,4,0.5714285714285714,0.37757360814548874,0.855279430560843,0.2,10.05535356214173,False,4.0,9.75,3.4034296427770228,7.5691647065391034,11.930835293460897,4.0,1.1890106443011688,True
WordPress,v3,notsummarized,0,8,6,0.75,0.5724595097022023,0.9740867877661101,0.2,7.698630071014762,True,6.0,12.5,7.918333157931662,8.357197489824602,16.6428025101754,4.0,6.436054739368342,False
WordPress,v3,summarized,0,8,7,0.875,0.7219110502598116,1.0513620984743446,0.2,4.490867541425277,True,7.0,9.714285714285714,8.864052604279182,5.420707385673727,14.007864042897701,4.0,8.065231502967844,False
eWeLink,v1,notsummarized,0,7,4,0.5714285714285714,0.37757360814548874,0.855279430560843,0.2,10.05535356214173,False,4.0,12.0,5.354126134736337,8.569205634952693,15.430794365047307,4.0,2.9425874938100876,True
eWeLink,v1,summarized,0,3,3,1.0,0.7850963161535157,1.2149036838464844,0.2,0.0,True,3.0,8.666666666666666,2.8867513459481287,6.530747390758998,10.802585942574334,4.0,0.8554033412238625,True
eWeLink,v2,notsummarized,0,4,2,0.5,0.26945826607874607,0.900870570412955,0.2,10.264840094686349,False,2.0,16.5,10.606601717798213,6.888363258415499,26.1116367415845,4.0,11.547945106522144,False
eWeLink,v2,summarized,0,9,5,0.5555555555555556,0.38098729367250755,0.8044472336492258,0.2,10.138113673764293,False,5.0,15.8,6.760177512462229,11.925557826671133,19.67444217332887,4.0,4.691031923271662,True
eWeLink,v3,notsummarized,0,9,9,1.0,0.9163861567630498,1.0836138432369502,0.2,0.0,True,9.0,12.88888888888889,8.192137151629671,9.38934015827986,16.388437619497918,4.0,6.888848241322839,True
eWeLink,v3,summarized,0,10,7,0.7,0.5351157414455652,0.9104164460208936,0.2,8.622465679536534,True,7.0,10.142857142857142,7.861903319777203,6.334700848845277,13.951013436869008,4.0,6.344648782334705,True
