scope,case,version,metric,n,mean,std,cv,se,ci_low,ci_high,confidence,reliability
group,Stack4Things,v1,validity_edit_distance,3,23.333333333333332,9.60902353693305,41.18152944399879,5.547772325697746,-0.5368044075627907,47.203471074229455,0.95,"molto bassa (2≤n<5, stime poco affidabili)"
group,Stack4Things,v2,graph_edit_distance,1,145.0,0.0,0.0,0.0,145.0,145.0,0.95,"trascurabile (n=1, non è possibile stimare la variabilità)"
group,Stack4Things,v2,validity_edit_distance,1,13.0,0.0,0.0,0.0,13.0,13.0,0.95,"trascurabile (n=1, non è possibile stimare la variabilità)"
group,Stack4Things,v3,graph_edit_distance,1,142.0,0.0,0.0,0.0,142.0,142.0,0.95,"trascurabile (n=1, non è possibile stimare la variabilità)"
group,Stack4Things,v3,validity_edit_distance,1,16.0,0.0,0.0,0.0,16.0,16.0,0.95,"trascurabile (n=1, non è possibile stimare la variabilità)"
group,WordPress,v1,graph_edit_distance,10,27.9,9.433392225964575,33.811441670123926,2.9831005495773835,21.15175772425952,34.64824227574047,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v1,validity_edit_distance,10,16.4,9.709102258533827,59.20184303984042,3.0702877172451877,9.454526648410837,23.34547335158916,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v2,graph_edit_distance,10,24.7,7.071853442423076,28.630985596854558,2.236316415695934,19.64110080182524,29.75889919817476,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v2,validity_edit_distance,10,16.4,8.248905651323964,50.29820519099979,2.6085330062018466,10.499088375479156,22.300911624520843,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v3,graph_edit_distance,14,32.07142857142857,11.235002212962609,35.031187300997004,3.002680644325223,25.5845314220662,38.55832572079094,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v3,validity_edit_distance,14,23.142857142857142,9.960360997915247,43.03859690457206,2.6620184501989037,17.391915920126507,28.893798365587777,0.95,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,eWeLink,v1,graph_edit_distance,7,19.285714285714285,3.8606685826112948,20.018281539465974,1.4591955662899583,15.71519136142119,22.85623721000738,0.95,"bassa (5≤n<10, risultati da interpretare con cautela)"
