case,version,mode,success,iterations
Stack4Things,v2,notsummarized,0,30
Stack4Things,v1,summarized,0,30
Stack4Things,v1,notsummarized,0,30
Open Energy Monitor,v3,summarized,1,19
Open Energy Monitor,v3,notsummarized,1,9
Open Energy Monitor,v2,summarized,1,11
Open Energy Monitor,v2,notsummarized,1,16
Open Energy Monitor,v1,summarized,1,10
Open Energy Monitor,v1,notsummarized,0,30
Open Energy Monitor,v3,summarized,1,6
Open Energy Monitor,v3,notsummarized,1,3
Open Energy Monitor,v2,summarized,1,15
Open Energy Monitor,v2,notsummarized,1,17
Open Energy Monitor,v1,summarized,1,8
Open Energy Monitor,v1,notsummarized,0,30
JetRacer,v3,summarized,1,9
JetRacer,v3,notsummarized,1,5
JetRacer,v2,summarized,0,30
JetRacer,v2,notsummarized,1,9
JetRacer,v1,summarized,1,5
JetRacer,v1,notsummarized,1,3
JetRacer,v3,summarized,1,18
JetRacer,v3,notsummarized,0,30
JetRacer,v2,summarized,1,20
JetRacer,v2,notsummarized,0,30
JetRacer,v1,summarized,1,8
JetRacer,v1,notsummarized,0,30
JetRacer,v1,notsummarized,0,30
JetRacer,v3,summarized,0,30
JetRacer,v3,notsummarized,1,8
JetRacer,v2,summarized,0,30
JetRacer,v2,notsummarized,0,30
JetRacer,v1,summarized,0,30
JetRacer,v1,notsummarized,0,30
BookInfo,v3,summarized,1,18
BookInfo,v3,notsummarized,0,30
BookInfo,v2,summarized,0,30
BookInfo,v2,notsummarized,0,30
BookInfo,v1,summarized,0,30
BookInfo,v1,notsummarized,0,30
BookInfo,v3,summarized,1,19
BookInfo,v3,notsummarized,0,30
BookInfo,v2,summarized,0,30
BookInfo,v2,notsummarized,0,30
BookInfo,v1,summarized,0,30
BookInfo,v1,notsummarized,0,30
BookInfo,v3,summarized,1,20
BookInfo,v3,notsummarized,1,20
BookInfo,v2,summarized,1,20
BookInfo,v2,notsummarized,1,20
BookInfo,v1,summarized,1,20
BookInfo,v1,notsummarized,1,20
BookInfo,v3,summarized,1,6
BookInfo,v3,notsummarized,1,5
BookInfo,v2,summarized,1,20
BookInfo,v2,notsummarized,1,20
BookInfo,v1,summarized,1,20
BookInfo,v1,notsummarized,1,7
