app_id,session_id,version,rag,summarized,true_positives,false_positives,false_negatives,precision,recall,f1_score,reference_total,session_total
Open Energy Monitor,30c82df7-a19f-48de-9715-680bafa1d44c,v1,1,1,101,36,39,0.7372,0.7214,0.7292,140,137
Open Energy Monitor,30a8f155-fb9a-4c77-9c49-4aef7f7f2361,v1,0,1,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,73331a2a-0cf7-44d2-8979-2a9cb48d871e,v3,1,1,53,24,87,0.6883,0.3786,0.4885,140,77
Open Energy Monitor,4d7f00a0-a47f-4b45-9061-decf084edc43,v2,1,0,65,13,75,0.8333,0.4643,0.5963,140,78
Open Energy Monitor,af7540a3-e201-478f-a4b1-814c25265789,v3,1,0,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,4d36a607-4b32-4abd-a3da-9ea72cb399c4,v3,0,1,64,33,76,0.6598,0.4571,0.5401,140,97
Open Energy Monitor,95b51fdc-00bb-4538-b9d8-964f5c8fd2e6,v3,1,0,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,168d5b32-3150-4f9b-8895-f268458168d0,v3,1,1,65,0,75,1.0,0.4643,0.6341,140,65
Open Energy Monitor,f4720968-3414-44e6-a5de-e380917c7cdf,v2,1,0,71,12,69,0.8554,0.5071,0.6368,140,83
Open Energy Monitor,146fb716-3866-4d26-b213-c11a9f9f4c4c,v3,0,1,80,79,60,0.5031,0.5714,0.5351,140,159
Open Energy Monitor,6228b68f-7947-4033-977a-9bbe1afbda25,v3,1,1,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,60118a75-ef28-45fd-8c4e-161a50be6f61,v2,1,1,40,24,100,0.625,0.2857,0.3922,140,64
Open Energy Monitor,1d6f6dfd-7c11-44e2-a1e3-feb7ae029c6d,v2,0,1,53,27,87,0.6625,0.3786,0.4818,140,80
Open Energy Monitor,e24c942e-b3aa-47f0-b9b5-99f120f6a7f6,v2,1,0,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,f0b0e57c-3308-4727-aef4-ef7de140305f,v3,0,0,44,0,96,1.0,0.3143,0.4783,140,44
Open Energy Monitor,952b5634-2f63-4b04-89f3-70c492abe59c,v3,1,1,72,12,68,0.8571,0.5143,0.6429,140,84
Open Energy Monitor,3111e3ba-1fb2-467e-8df1-1408637d9b89,v3,0,1,80,0,60,1.0,0.5714,0.7273,140,80
Open Energy Monitor,c354208b-632b-44bb-a778-fbedf7b04a73,v2,0,1,53,67,87,0.4417,0.3786,0.4077,140,120
Open Energy Monitor,abde0f1e-32c5-4028-a218-110f09a91a1b,v3,1,0,63,0,77,1.0,0.45,0.6207,140,63
Open Energy Monitor,6f6176b7-3132-47e5-b447-2e1e6b5f59dd,v3,1,0,72,0,68,1.0,0.5143,0.6792,140,72
Open Energy Monitor,10846bfa-82ba-4db8-9506-108816b28c0c,v3,0,0,53,0,87,1.0,0.3786,0.5492,140,53
Open Energy Monitor,413c8d22-3941-4771-8c1d-701cdb5bb231,v2,0,1,53,53,87,0.5,0.3786,0.4309,140,106
Open Energy Monitor,0fe3f365-086d-4ba7-9aee-cfe7d7cffa08,v3,0,1,53,55,87,0.4907,0.3786,0.4274,140,108
Open Energy Monitor,f747eef0-083a-4c48-9de5-b35808d7efd5,v1,1,0,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,961f1e99-11a6-449e-aef9-fd1c21bc37af,v3,0,0,20,28,120,0.4167,0.1429,0.2128,140,48
Open Energy Monitor,7f9d1fb7-5b77-4d67-8bce-dfe609953623,v1,1,1,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,36a3a515-cbda-4c83-b488-f713f62f7899,v3,1,0,83,17,57,0.83,0.5929,0.6917,140,100
Open Energy Monitor,f5aa9bee-f7e1-42fe-89bb-3c7ccd6db80b,v2,0,0,20,0,120,1.0,0.1429,0.25,140,20
Open Energy Monitor,43e94240-1178-4a0e-a2f9-500aba2096b8,v2,1,0,0,0,140,0.0,0.0,0.0,140,0
Open Energy Monitor,f9f4b025-ddfb-4406-b5d3-0e712605999d,v1,0,1,0,0,140,0.0,0.0,0.0,140,0
Open Energy Monitor,472e59fe-50ac-4423-83e8-d084426f159d,v2,1,0,0,0,140,0.0,0.0,0.0,140,0
Open Energy Monitor,e03b55f7-0bb2-4703-9934-2c53e2fd6fb2,v2,0,0,0,0,140,0.0,0.0,0.0,140,0
Open Energy Monitor,ba03867f-d7ee-48d4-9857-acfa2128247c,v1,0,1,0,0,140,0.0,0.0,0.0,140,0
Open Energy Monitor,ae35f84d-7906-40c9-93b6-4dc7c6c8df59,v3,0,0,0,0,140,0.0,0.0,0.0,140,0
